"","ID","publication_year","journal","authors","title","issue","beginpage","endpage","impact_factor_2016","study_focus","geographic_extent_of_study","tense_description","climate_date_range","climate_date_min","climate_date_max","climate_data_source","citation_type","description_access_to_source","source_sufficient"
"9",1009,1980,"BIOTROPICA","DENSLOW, JS","GAP PARTITIONING AMONG TROPICAL RAINFOREST TREES","","47","55",1.73,"general ecology","global","present",TRUE,1955,1968,"site data","paper","no","unclear"
"10",1010,1980,"ECOLOGICAL MONOGRAPHS","BANSE, K; MOSHER, S","ADULT BODY-MASS AND ANNUAL PRODUCTION-BIOMASS RELATIONSHIPS OF FIELD POPULATIONS","3","355","379",8.759,"general ecology","global","implicit past",FALSE,NA,NA,"not_specified","paper","no","no"
"15",1015,1980,"ECOLOGICAL MONOGRAPHS","SOLLINS, P; GRIER, CC; MCCORISON, FM; CROMACK, K; FOGEL, R","THE INTERNAL ELEMENT CYCLES OF AN OLD-GROWTH DOUGLAS-FIR ECOSYSTEM IN WESTERN OREGON","3","261","285",8.759,"general ecology","site","inconsistent",TRUE,1972,1976,"not_specified","incomplete","no","no"
"32",1032,1980,"ECOLOGICAL MONOGRAPHS","WOLFF, JO","THE ROLE OF HABITAT PATCHINESS IN THE POPULATION-DYNAMICS OF SNOWSHOE HARES","1","111","130",8.759,"general ecology","regional","present",FALSE,NA,NA,"not_specified","organization","no","no"
"43",1043,1980,"OECOLOGIA","TOFT, CA","FEEDING ECOLOGY OF 13 SYNTOPIC SPECIES OF ANURANS IN A SEASONAL TROPICAL ENVIRONMENT","1","131","141",3.13,"general ecology","regional","present",FALSE,NA,NA,"not_specified","paper","no","no"
"46",1046,1980,"OECOLOGIA","OATES, JF; WATERMAN, PG; CHOO, GM","FOOD SELECTION BY THE SOUTH INDIAN LEAF-MONKEY, PRESBYTIS-JOHNII, IN RELATION TO LEAF CHEMISTRY","1","45","56",3.13,"general ecology","site","inconsistent",TRUE,1973,1976,"site data","organization","no","no"
"57",1057,1980,"JOURNAL OF APPLIED ECOLOGY","ALLEN, EB; ALLEN, MF","NATURAL RE-ESTABLISHMENT OF VESICULAR-ARBUSCULAR MYCORRHIZAE FOLLOWING STRIPMINE RECLAMATION IN WYOMING","1","139","147",5.301,"general ecology","site","present",FALSE,NA,NA,"not_specified","none","no","no"
"75",1075,1980,"JOURNAL OF WILDLIFE MANAGEMENT","STAUFFER, DF; BEST, LB","HABITAT SELECTION BY BIRDS OF RIPARIAN COMMUNITIES - EVALUATING EFFECTS OF HABITAT ALTERATIONS","1","1","15",0.633,"general ecology","site","present",FALSE,NA,NA,"not_specified","report","no","no"
"82",1082,1980,"BIOTROPICA","CROW, TR","A RAINFOREST CHRONICLE - A 30-YEAR RECORD OF CHANGE IN STRUCTURE AND COMPOSITION AT EL-VERDE, PUERTO-RICO","1","42","55",1.73,"general ecology","site","implicit past",TRUE,1963,1966,"site data","atlas or book","no","yes"
"84",1084,1980,"JOURNAL OF WILDLIFE MANAGEMENT","MANNAN, RW; MESLOW, EC; WIGHT, HM","USE OF SNAGS BY BIRDS IN DOUGLAS-FIR FORESTS, WESTERN OREGON","4","787","797",0.633,"general ecology","site","present",FALSE,NA,NA,"not_specified","report","no","no"
"88",1088,1980,"BIOTROPICA","SCHALLER, GB; CRAWSHAW, PG","MOVEMENT PATTERNS OF JAGUAR","3","161","168",1.73,"general ecology","site","present",FALSE,NA,NA,"not_specified","none","no","no"
